河南省平顶山市酒店 联通,#genre#
CCTV1,http://42.225.145.72:8089/hls/1/index.m3u8
CCTV2,http://42.225.145.72:8089/hls/2/index.m3u8
CCTV3,http://42.225.145.72:8089/hls/3/index.m3u8
CCTV4,http://42.225.145.72:8089/hls/4/index.m3u8
CCTV5,http://42.225.145.72:8089/hls/5/index.m3u8
CCTV6,http://42.225.145.72:8089/hls/6/index.m3u8
CCTV7,http://42.225.145.72:8089/hls/7/index.m3u8
CCTV8,http://42.225.145.72:8089/hls/8/index.m3u8
CCTV9,http://42.225.145.72:8089/hls/9/index.m3u8
CCTV10,http://42.225.145.72:8089/hls/10/index.m3u8
CCTV11,http://42.225.145.72:8089/hls/11/index.m3u8
CCTV12,http://42.225.145.72:8089/hls/12/index.m3u8
CCTV13,http://42.225.145.72:8089/hls/13/index.m3u8
CCTV14,http://42.225.145.72:8089/hls/14/index.m3u8
CCTV15,http://42.225.145.72:8089/hls/15/index.m3u8
河南卫视,http://42.225.145.72:8089/hls/17/index.m3u8
河南都市,http://42.225.145.72:8089/hls/18/index.m3u8
河南民生,http://42.225.145.72:8089/hls/19/index.m3u8
河南法治,http://42.225.145.72:8089/hls/20/index.m3u8
河南电视剧,http://42.225.145.72:8089/hls/21/index.m3u8
河南新闻,http://42.225.145.72:8089/hls/22/index.m3u8
河南公共,http://42.225.145.72:8089/hls/24/index.m3u8
湖南卫视,http://42.225.145.72:8089/hls/30/index.m3u8
江苏卫视,http://42.225.145.72:8089/hls/31/index.m3u8
浙江卫视,http://42.225.145.72:8089/hls/32/index.m3u8
北京卫视,http://42.225.145.72:8089/hls/33/index.m3u8
东方卫视,http://42.225.145.72:8089/hls/34/index.m3u8
天津卫视,http://42.225.145.72:8089/hls/35/index.m3u8
山东卫视,http://42.225.145.72:8089/hls/36/index.m3u8
安徽卫视,http://42.225.145.72:8089/hls/37/index.m3u8
深圳卫视,http://42.225.145.72:8089/hls/38/index.m3u8
江西卫视,http://42.225.145.72:8089/hls/39/index.m3u8
湖北卫视,http://42.225.145.72:8089/hls/40/index.m3u8
四川卫视,http://42.225.145.72:8089/hls/41/index.m3u8
黑龙江卫视,http://42.225.145.72:8089/hls/42/index.m3u8
云南卫视,http://42.225.145.72:8089/hls/43/index.m3u8
贵州卫视,http://42.225.145.72:8089/hls/44/index.m3u8
辽宁卫视,http://42.225.145.72:8089/hls/45/index.m3u8
东南卫视,http://42.225.145.72:8089/hls/46/index.m3u8
广东卫视,http://42.225.145.72:8089/hls/48/index.m3u8
河南省驻马店市酒店 电信,#genre#
CCTV1-综合,http://171.8.86.73:8009/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://171.8.86.73:8009/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://171.8.86.73:8009/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://171.8.86.73:8009/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://171.8.86.73:8009/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://171.8.86.73:8009/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
